time_period,time_identifier,version,geographic_level,country_code,country_name,school_type,subject,2022_overall,2022_final_year,2022_penultimate_year,percentage_final_of_overall,percentage_penultimate_of_overall
202122,Academic year,Provisional,National,E92000001,England,All schools,Ancient History,1072,1053,19,98.2,1.8
202122,Academic year,Provisional,National,E92000001,England,All schools,Art and Design,190618,186857,3020,98,1.6
202122,Academic year,Provisional,National,E92000001,England,All schools,Biblical Hebrew,562,75,480,13.3,85.4
202122,Academic year,Provisional,National,E92000001,England,All schools,Biology,169570,168628,817,99.4,0.5
202122,Academic year,Provisional,National,E92000001,England,All schools,Business,99590,98713,700,99.1,0.7
202122,Academic year,Provisional,National,E92000001,England,All schools,Chemistry,165100,164312,706,99.5,0.4
202122,Academic year,Provisional,National,E92000001,England,All schools,Classical Civilisation,3454,3388,36,98.1,1
202122,Academic year,Provisional,National,E92000001,England,All schools,Classical Greek,982,941,38,95.8,3.9
202122,Academic year,Provisional,National,E92000001,England,All schools,Combined Science,424704,424432,260,99.9,0.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Computer Science,78453,77330,1034,98.6,1.3
202122,Academic year,Provisional,National,E92000001,England,All schools,Dance,8276,7896,306,95.4,3.7
202122,Academic year,Provisional,National,E92000001,England,All schools,Design & Technology,77949,76944,874,98.7,1.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Drama,53597,52953,515,98.8,1
202122,Academic year,Provisional,National,E92000001,England,All schools,Economics,6698,6536,152,97.6,2.3
202122,Academic year,Provisional,National,E92000001,England,All schools,Engineering,2300,2296,3,99.8,0.1
202122,Academic year,Provisional,National,E92000001,England,All schools,English Language,599455,594427,4996,99.2,0.8
202122,Academic year,Provisional,National,E92000001,England,All schools,English Literature,583766,563708,20019,96.6,3.4
202122,Academic year,Provisional,National,E92000001,England,All schools,Film Studies,5348,5222,94,97.6,1.8
202122,Academic year,Provisional,National,E92000001,England,All schools,Food Preparation & Nutrition,51628,50837,675,98.5,1.3
202122,Academic year,Provisional,National,E92000001,England,All schools,French,124762,122690,1212,98.3,1
202122,Academic year,Provisional,National,E92000001,England,All schools,Geography,277857,276523,1120,99.5,0.4
202122,Academic year,Provisional,National,E92000001,England,All schools,German,35551,34972,251,98.4,0.7
202122,Academic year,Provisional,National,E92000001,England,All schools,History,276991,275665,1188,99.5,0.4
202122,Academic year,Provisional,National,E92000001,England,All schools,Latin,8655,8286,321,95.7,3.7
202122,Academic year,Provisional,National,E92000001,England,All schools,Mathematics,595001,593298,1578,99.7,0.3
202122,Academic year,Provisional,National,E92000001,England,All schools,Media/Film/TV,25486,25027,370,98.2,1.5
202122,Academic year,Provisional,National,E92000001,England,All schools,Music,33891,33388,383,98.5,1.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Other Modern Languages,29336,23305,4140,79.4,14.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Other Sciences,2177,1849,264,84.9,12.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Physical Education,70268,69592,659,99,0.9
202122,Academic year,Provisional,National,E92000001,England,All schools,Physics,164944,164537,326,99.8,0.2
202122,Academic year,Provisional,National,E92000001,England,All schools,Religious Studies,221275,202989,17851,91.7,8.1
202122,Academic year,Provisional,National,E92000001,England,All schools,Social Studies,61210,56453,4022,92.2,6.6
202122,Academic year,Provisional,National,E92000001,England,All schools,Spanish,113929,112005,944,98.3,0.8
202122,Academic year,Provisional,National,E92000001,England,All schools,Statistics,19058,12651,5824,66.4,30.6
202122,Academic year,Provisional,National,E92000001,England,All schools,Total,4583513,4499778,75197,98.2,1.6
