country_code,country_name,la_name
W92000004,Wales,Ceredigion
E92000001,England,Chelmsford
E92000001,England,Birmingham
W92000004,Wales,Gwynedd
E92000001,England,Bath and North East Somerset
E92000001,England,Camden
E92000001,England,Lincoln
E92000001,England,"Bournemouth, Christchurch and Poole"
E92000001,England,Hillingdon
E92000001,England,Wycombe
E92000001,England,Canterbury
W92000004,Wales,Cardiff
E92000001,England,Hackney
E92000001,England,Westminster
E92000001,England,Coventry
E92000001,England,Leicester
E92000001,England,West Lancashire
S92000003,Scotland,City of Edinburgh
E92000001,England,Cornwall
S92000003,Scotland,Glasgow City
W92000004,Wales,Wrexham
E92000001,England,Lewisham
E92000001,England,City of London
E92000001,England,Telford and Wrekin
S92000003,Scotland,Scottish Borders
E92000001,England,Kensington and Chelsea
E92000001,England,Kingston upon Thames
E92000001,England,Leeds
E92000001,England,Liverpool
E92000001,England,Islington
E92000001,England,Southwark
E92000001,England,Charnwood
E92000001,England,Barnet
E92000001,England,Norwich
E92000001,England,Oxford
S92000003,Scotland,East Lothian
E92000001,England,Tower Hamlets
E92000001,England,Greenwich
E92000001,England,Wandsworth
E92000001,England,Bexley
E92000001,England,Cotswold
E92000001,England,Runnymede
E92000001,England,Manchester
E92000001,England,Sheffield
E92000001,England,Southampton
E92000001,England,Richmond upon Thames
E92000001,England,Stoke-on-Trent
W92000004,Wales,Swansea
E92000001,England,Middlesbrough
E92000001,England,Nottingham
E92000001,England,Milton Keynes
S92000003,Scotland,Aberdeen City
E92000001,England,Bolton
E92000001,England,Bradford
E92000001,England,Brighton and Hove
E92000001,England,"Bristol, City of"
E92000001,England,Aylesbury Vale
E92000001,England,Cambridge
E92000001,England,Chichester
S92000003,Scotland,Dundee City
E92000001,England,Newham
E92000001,England,Colchester
E92000001,England,Exeter
E92000001,England,Kirklees
E92000001,England,"Kingston upon Hull, City of"
E92000001,England,Newcastle-under-Lyme
E92000001,England,Lancaster
E92000001,England,Northampton
E92000001,England,Portsmouth
E92000001,England,Wokingham
S92000003,Scotland,Fife
S92000003,Scotland,Stirling
E92000001,England,Sunderland
E92000001,England,Guildford
S92000003,Scotland,Renfrewshire
E92000001,England,Ealing
E92000001,England,Winchester
E92000001,England,Wolverhampton
E92000001,England,York
E92000001,England,Ipswich
E92000001,England,Waverley
E92000001,England,Luton
E92000001,England,Preston
E92000001,England,Cheshire West and Chester
E92000001,England,Carlisle
E92000001,England,Derby
E92000001,England,County Durham
E92000001,England,Cheltenham
E92000001,England,Welwyn Hatfield
E92000001,England,Newcastle upon Tyne
E92000001,England,Plymouth
E92000001,England,Salford
W92000004,Wales,Rhondda Cynon Taf
S92000003,Scotland,Highland
E92000001,England,South Gloucestershire
W92000004,Wales,Carmarthenshire
E92000001,England,Worcester
W92000004,Wales,Conwy
E92000001,England,Forest of Dean
